epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2681,1.9807,3.50534,1.08424,0.07141,0.18468,0.07266,0.04097,1.28764,2.14377,1.0032,8.574e-05,8.574e-05,8.574e-05
2,67.5771,1.62479,1.62766,1.00023,0.50296,0.23804,0.22243,0.14307,1.06825,2.81672,0.97545,0.000176574,0.000176574,0.000176574
3,101.575,1.61638,1.23409,0.95253,0.59115,0.25901,0.28089,0.19641,1.0277,2.43584,0.99309,0.000257506,0.000257506,0.000257506
4,134.693,1.51994,1.13652,0.94936,0.63472,0.27027,0.30696,0.23248,0.87355,1.12129,0.92921,0.000328534,0.000328534,0.000328534
5,167.868,1.58026,1.0861,0.94112,0.52431,0.41742,0.28422,0.17858,1.18509,0.99358,1.01423,0.00038966,0.00038966,0.00038966
6,200.856,1.44534,0.91056,0.91604,0.60251,0.26126,0.2888,0.20627,1,1.04573,0.96319,0.000440882,0.000440882,0.000440882
7,233.764,1.4568,0.9474,0.9294,0.95977,0.27703,0.31775,0.22796,0.97995,0.96211,0.97705,0.000482202,0.000482202,0.000482202
8,267.448,1.39336,0.90197,0.9092,0.61641,0.26577,0.30644,0.21499,1.02854,1.13951,0.99672,0.000513618,0.000513618,0.000513618
9,301.208,1.3787,0.87926,0.90788,0.60684,0.25225,0.29326,0.20662,1.05657,1.05428,1.01195,0.000535132,0.000535132,0.000535132
10,337.164,1.32098,0.82491,0.89777,0.24448,0.26647,0.28059,0.20294,1.0276,1.07368,1.00911,0.000546743,0.000546743,0.000546743
11,370.23,1.26551,0.83859,0.91115,0.3103,0.27304,0.30925,0.22561,1.01102,0.94218,1.01353,0.00054845,0.00054845,0.00054845
12,403.196,1.2702,0.80042,0.88675,0.27149,0.25676,0.28415,0.20133,1.06751,1.32053,1.04901,0.000540255,0.000540255,0.000540255
13,437.248,1.25415,0.79533,0.89763,0.24659,0.25,0.26684,0.18921,1.05166,1.34228,1.03934,0.000522157,0.000522157,0.000522157
14,470.171,1.24546,0.74243,0.87207,0.24994,0.27,0.27327,0.19233,1.04914,1.39602,1.02718,0.000494155,0.000494155,0.000494155
15,503.198,1.18163,0.71218,0.87499,0.27433,0.26351,0.29104,0.20838,1.04377,1.12324,1.02113,0.000438703,0.000438703,0.000438703
16,536.832,1.13208,0.67198,0.87799,0.63748,0.25815,0.30614,0.22206,1.01034,0.99476,1.01194,0.000367967,0.000367967,0.000367967
17,569.877,1.15599,0.67099,0.87319,0.63997,0.25867,0.30892,0.22227,1.02396,0.97583,1.01664,0.000297232,0.000297232,0.000297232
18,602.531,1.17705,0.68765,0.86818,0.62682,0.26545,0.30551,0.22148,1.04691,0.90588,1.01915,0.000226497,0.000226497,0.000226497
19,635.279,1.08736,0.61832,0.86342,0.63278,0.25871,0.30478,0.21726,1.03913,0.92024,1.01056,0.000155761,0.000155761,0.000155761
20,667.607,1.10134,0.63659,0.85537,0.63359,0.2545,0.30577,0.21953,1.02661,0.91453,1.00499,8.50255e-05,8.50255e-05,8.50255e-05
